ryan.dunne9@det.nsw.edu.au,Ryan,R18+,[],['Dune']
ryan.dunne9@det.nsw.edu.au,Dunne,M,[],[]
auausten@yahoo.com,Austen,R18+,"['Inception', 'White Lotus', 'The Godfather']","['Breaking Bad', 'Inception', 'Stranger Things']"
auausten@yahoo.com,Profile 2,M,"['Interstellar', 'The Office']","['The Office', 'Arcane', 'Interstellar']"
kayhanfromthecakirs@gmail.com,Profile 1,MA15+,[],[]
kayhanfromthecakirs@gmail.com,Kayhan,MA15+,[],[]
kayhanfromthecakirs@gmail.com,Osman,R18+,[],[]
ghguhuhoa@hotmail.com,Habeb,G,[],[]
ghguhuhoa@hotmail.com,Habeb2,PG,[],[]
ghguhuhoa@hotmail.com,Habeb3,MA15+,[],[]
ghguhuhoa@hotmail.com,Habeb4,PG,[],[]
gamer@gmail.com,myonlyprofile,M,[],[]
bigiismalls@icloud.com,Profile 1,G,[],[]
bigiismalls@icloud.com,DO NOT OPEN,MA15+,[],[]
thegoat@gmail.com,hi,MA15+,[],[]
tungtungtung@gmail.com,tungggg,M,['Interstellar'],"['Arrival', 'The Dark Knight', 'Interstellar']"
tungtungtung@gmail.com,tungggg222,M,[],[]
bobbythesigma@gmail.com,i LOVE nutflix,G,[],[]
bobbythesigma@gmail.com,i HATE nutflix,G,['Bluey'],[]
NutflixCEO@yahoo.com,the CEO,R18+,[],[]
NutflixCEO@yahoo.com,the CFO,R18+,[],[]
NutflixCEO@yahoo.com,the CBO,R18+,[],[]
NutflixCEO@yahoo.com,the COO,R18+,[],['Chernobyl']
